STATUS,TIMESTAMP,TYPE
Paused,11:11-07,Start
Paused,11:11-47,End
Paused,11:41-48,Start
Paused,17:52:05,Start
Paused,17:55:48,Start
Paused,18:01:09,Start
Paused,18:01:49,End
